id	unit	kind	pos	cefr	cefr_source	zipf
w:appetite|noun	appetite	word	noun	B1	cefrj	3.97
w:applaud|verb	applaud	word	verb	B1	cefrj	3.41
w:applause|noun	applause	word	noun	B1	cefrj	4.74
w:apple|noun	apple	word	noun	A1	cefrj	4.35
w:appliance|noun	appliance	word	noun	C1	cefrj	2.94
w:applicant|noun	applicant	word	noun	B2	cefrj	2.81
w:application|noun	application	word	noun	B1	cefrj	4.01
w:apply|verb	apply	word	verb	A2	cefrj	4.18
w:appoint|verb	appoint	word	verb	B1	cefrj	3.41
w:appointment|noun	appointment	word	noun	A2	cefrj	4.46
w:appreciate|verb	appreciate	word	verb	A2	cefrj	4.85
w:appreciation|noun	appreciation	word	noun	B1	cefrj	3.65
w:appreciative|adj	appreciative	word	adj	B2	cefrj	2.92
w:apprehend|verb	apprehend	word	verb	C2	cefrj	3.15
w:apprehensive|adj	apprehensive	word	adj	C1	cefrj	2.83
w:apprentice|noun	apprentice	word	noun	C1	cefrj	3.55
w:apprentice|verb	apprentice	word	verb	C1	cefrj	3.55
w:apprenticeship|noun	apprenticeship	word	noun	C1	cefrj	2.81
w:approach|noun	approach	word	noun	B1	cefrj	4.35
w:approach|verb	approach	word	verb	B2	cefrj	4.35
w:appropriate|adj	appropriate	word	adj	A2	cefrj	4.12
w:appropriately|adv	appropriately	word	adv	B2	cefrj	3.02
w:approval|noun	approval	word	noun	B1	cefrj	3.93
w:approve|verb	approve	word	verb	B1	cefrj	4.04
w:approximate|adj	approximate	word	adj	B2	cefrj	2.92
w:approximately|adv	approximately	word	adv	B1	cefrj	3.90
